name_common,age,mlb_ID,player_ID,year_ID,stint_ID,team_ID,lg_ID,pitcher,salary,OPS_plus,WAR,sumWAR,avgOPSplus,adjusted_sal
Yonder Alonso,28.0,475174.0,alonsyo01,2015,1,SDP,NL,N,1650000.0,108.8017,1.73,1.73,108.8017,1650000.0
Moises Alou,23.0,110189.0,aloumo01,1990,1,PIT,NL,N,100000.0,12.7827,-0.08,-0.2,29.8777,181344.29992348893
Moises Alou,25.0,110189.0,aloumo01,1992,1,WSN,NL,N,110500.0,120.2129,2.49,2.49,120.2129,186674.11617961508
Moises Alou,26.0,110189.0,aloumo01,1993,1,WSN,NL,N,210000.0,114.7226,2.46,2.46,114.7226,344453.77162629756
Moises Alou,27.0,110189.0,aloumo01,1994,1,WSN,NL,N,1415000.0,153.2052,5.06,5.06,153.2052,2263016.565452092
Moises Alou,28.0,110189.0,aloumo01,1995,1,WSN,NL,N,3000000.0,107.0208,1.2,1.2,107.0208,4665688.976377953
Moises Alou,29.0,110189.0,aloumo01,1996,1,WSN,NL,N,3050000.0,106.7401,1.22,1.22,106.7401,4607405.035054174
Moises Alou,30.0,110189.0,aloumo01,1997,1,FLA,NL,N,4500000.0,129.9264,3.47,3.47,129.9264,6645336.448598131
Moises Alou,31.0,110189.0,aloumo01,1998,1,HOU,NL,N,5020000.0,156.9196,6.17,6.17,156.9196,7299541.963190184
Moises Alou,33.0,110189.0,aloumo01,2000,1,HOU,NL,N,5250000.0,150.9659,2.64,2.64,150.9659,7226128.048780488
Moises Alou,34.0,110189.0,aloumo01,2001,1,HOU,NL,N,5250000.0,136.5554,2.95,2.95,136.5554,7026195.652173913
Moises Alou,35.0,110189.0,aloumo01,2002,1,CHC,NL,N,6000000.0,100.023,0.24,0.24,100.023,7904958.310172318
Moises Alou,36.0,110189.0,aloumo01,2003,1,CHC,NL,N,9500000.0,111.2832,1.08,1.08,111.2832,12237290.760869564
Moises Alou,37.0,110189.0,aloumo01,2004,1,CHC,NL,N,9500000.0,131.5346,3.97,3.97,131.5346,11919859.714134462
Moises Alou,38.0,110189.0,aloumo01,2005,1,SFG,NL,N,7250000.0,138.0539,3.4,3.4,138.0539,8798634.152585765
Moises Alou,39.0,110189.0,aloumo01,2006,1,SFG,NL,N,5827974.0,131.7407,1.4,1.4,131.7407,6851829.928363096
Moises Alou,40.0,110189.0,aloumo01,2007,1,NYM,NL,N,7500000.0,136.6959,2.25,2.25,136.6959,8573407.703214977
